orderHash,maker,taker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,fee,event
0xc0140cbbcfa3670bb830b56f0cca661cca30318cb7bf555ed90b4cf69c2a407d,0x0e8d61f16a2373931ffbfc2993f046e33286dfcc,0xb705c56905026dbace1abe80b9f3c748eeffe280,0,109915657874064939064529335421501268774221372323468858759891852151108155456,38446592129577643011732553616165906904406049596013468528726150940127408472049,7237005577332262213973186563042994240829374041602535252466099000494572770464,86844066927987146567678238756515930889952488499230423029593188005934847229952,OrderFilled
0x7d5410539d2307b0a00feef538c2233e1bce8dd8c4837f3aac5a3d6e348ee779,0xb705c56905026dbace1abe80b9f3c748eeffe280,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,123314900189558565426265704650424073272633854519632949971367328181264114419,108555083659983933209597798445644913612440610624038028786991485007418559059119,79607061350654884353705052193472936649123114457627887777127089005440278795424,86844066927987146567678238756515930889952488499230423029593188005934847229952,OrderFilled
0x5681a8df31763ace808c02a8b6d98a2d48b27aba9d5f5655ff686b7a0bb93ebb,0x8a4c788f043023b8b28a762216d037e9f148532b,0x9112c1bd6ec15e24dbb5ce3f95492edc3cf12f0b,0,268013976259155087723899594038354721939354853697274747720859866323986111995,48849787646992769944319009300540211125598274780817112954146168253338351918410,57896044618658097711785492504343953926634992332820282019728792003956565210593,0,OrderFilled
0x1ca210c4c83d615b0e3a19e9140609e9c481ce481045f511b959f48f6e6220ab,0x9112c1bd6ec15e24dbb5ce3f95492edc3cf12f0b,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,410334315088602287835822487215289893260558063729706440392318906883153104088,58348357467241364100158816664534141066686828210420440473007923191487475521686,57896044618658097711785492504343953926634992332820282019728792003956565210593,0,OrderFilled
0x27fa385d014130af791fff8fd8d00c369dd7ac9d6b7ced1b61c5f5ce80d3bf1a,0x424eea9dbf8257f8375a344ec3c656bc546feb0a,0x113ebcc46c2f9f5075abbfd13107df28daf402c9,0,109915657874064939064529335421501268774221372323468858759891852151108155456,38446592129577643011732553616165906904406049596013468528726150940127406382010,58593,86844066927987146567678238756515930889952488499230423029593188005934847229952,OrderFilled
0x6bccfbedeeaba79e2ce28731641b1e9bea5ff1ab7e07863ba4df042e3ba82fe3,0x9d84ce0306f8551e02efef1680475fc0f1dc1344,0x113ebcc46c2f9f5075abbfd13107df28daf402c9,0,109915657874064939064529335421501268774221372323468858759891852151108155456,38446592129577643011732553616165906904406049596013468528726150940127409424392,94081072505319408781651425319558925130781862540832958282059287006429421094166,86844066927987146567678238756515930889952488499230423029593188005934847229952,OrderFilled
0x226adceec65dd8bc68de6bed90d0c4315d61a866bfbba7364ce001e546b70b3e,0x113ebcc46c2f9f5075abbfd13107df28daf402c9,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,109915657874064939064529335421501268774221372323468858759891852151108155456,38446592129577643011732553616165906904406049596013468528726150940127406325760,3320312,57896044618658097711785492504343953926634992332820282019728792003956567974850,94081072505319408781651425319558925130781862540832958282059287006429417832448,OrderFilled
0x6bccfbedeeaba79e2ce28731641b1e9bea5ff1ab7e07863ba4df042e3ba82fe3,0x9d84ce0306f8551e02efef1680475fc0f1dc1344,0x113ebcc46c2f9f5075abbfd13107df28daf402c9,0,109915657874064939064529335421501268774221372323468858759891852151108155456,38446592129577643011732553616165906904406049596013468528726150940127406370291,28948022309329048855892746252171976963317496166410141009864396001978282456859,0,OrderFilled
0x89d3e427f5252a42a2b96992dd01df4c751ac7423be1d70470f3432c7623632a,0x113ebcc46c2f9f5075abbfd13107df28daf402c9,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,109915657874064939064529335421501268774221372323468858759891852151108155456,38446592129577643011732553616165906904406049596013468528726150940127406325760,46875,44531,28948022309329048855892746252171976963317496166410141009864396001978282409984,OrderFilled
0xae244df789027b6dd6442d79e0710388d6849ef6f4523f39de2f894d7b5fa82b,0x8a4c788f043023b8b28a762216d037e9f148532b,0x64288d780f518cedc4fbfcb1824a2fda7e0a88a6,0,220043438979562832358621287377925461966909418384311554395856520348622038382,23972580974913118583786180490079918422747301512808398023793952939138265433396,106745832265650867656104501804884165052233267113637394973874960257294916853426,37994279280994376623359229455975719764354213718413310075447019752596495663104,OrderFilled
